c Minimum Spanning Tree
c
c nodes:  2000 ; arcs:  14000 ; cost range:  -5 - 10
c
p mst  2000 14000
e  0 1 -2
e  0 2 0
e  2 3 -5
e  2 4 8
e  1 5 2
e  5 6 6
e  0 7 8
e  3 8 6
e  1 9 3
e  8 10 6
e  9 11 0
e  0 12 -1
e  9 13 8
e  2 14 -3
e  12 15 6
e  9 16 9
e  2 17 0
e  3 18 -5
e  12 19 7
e  12 20 -4
e  4 21 8
e  7 22 4
e  6 23 4
e  0 24 -5
e  7 25 -2
e  10 26 5
e  3 27 8
e  3 28 10
e  11 29 -1
e  21 30 5
e  0 31 2
e  11 32 -3
e  4 33 10
e  31 34 10
e  0 35 -2
e  28 36 -3
e  9 37 -4
e  22 38 0
e  23 39 4
e  36 40 10
e  1 41 -2
e  24 42 5
e  30 43 -5
e  39 44 6
e  36 45 -2
e  15 46 -4
e  14 47 6
e  6 48 2
e  35 49 1
e  3 50 0
e  27 51 1
e  35 52 -1
e  51 53 4
e  35 54 6
e  48 55 7
e  16 56 -5
e  11 57 3
e  38 58 6
e  42 59 4
e  22 60 -4
e  7 61 4
e  1 62 9
e  28 63 9
e  24 64 9
e  11 65 9
e  38 66 0
e  46 67 4
e  65 68 1
e  31 69 -1
e  29 70 1
e  57 71 -1
e  12 72 3
e  60 73 10
e  10 74 7
e  72 75 1
e  19 76 8
e  17 77 -5
e  13 78 10
e  25 79 10
e  15 80 -1
e  3 81 2
e  45 82 6
e  70 83 9
e  34 84 5
e  60 85 4
e  38 86 -5
e  31 87 8
e  15 88 -1
e  52 89 7
e  32 90 -3
e  16 91 -3
e  14 92 -2
e  35 93 0
e  16 94 -3
e  3 95 2
e  93 96 -1
e  61 97 5
e  80 98 4
e  89 99 9
e  23 100 5
e  81 101 4
e  85 102 0
e  76 103 5
e  51 104 10
e  84 105 4
e  25 106 -5
e  10 107 -1
e  72 108 10
e  73 109 0
e  84 110 -4
e  46 111 5
e  81 112 7
e  107 113 1
e  67 114 2
e  0 115 1
e  18 116 0
e  116 117 8
e  82 118 -5
e  22 119 3
e  22 120 10
e  8 121 3
e  0 122 6
e  84 123 -4
e  46 124 -5
e  22 125 5
e  71 126 4
e  19 127 -2
e  52 128 1
e  42 129 -3
e  26 130 4
e  45 131 4
e  6 132 3
e  106 133 -5
e  61 134 0
e  14 135 6
e  64 136 4
e  44 137 -4
e  132 138 -1
e  26 139 4
e  45 140 4
e  81 141 5
e  84 142 10
e  103 143 8
e  25 144 6
e  64 145 6
e  64 146 1
e  87 147 -4
e  98 148 2
e  48 149 5
e  97 150 1
e  78 151 9
e  69 152 10
e  47 153 -1
e  72 154 1
e  17 155 10
e  105 156 9
e  104 157 6
e  5 158 -2
e  105 159 -1
e  37 160 10
e  103 161 -1
e  145 162 7
e  144 163 -1
e  51 164 2
e  104 165 9
e  91 166 2
e  11 167 4
e  97 168 6
e  42 169 5
e  52 170 -3
e  139 171 1
e  112 172 9
e  83 173 -5
e  107 174 3
e  71 175 1
e  24 176 -2
e  116 177 5
e  133 178 4
e  169 179 -2
e  23 180 -1
e  36 181 10
e  94 182 -5
e  44 183 9
e  117 184 7
e  76 185 7
e  0 186 2
e  76 187 3
e  113 188 -3
e  158 189 -2
e  45 190 0
e  48 191 5
e  20 192 0
e  96 193 8
e  135 194 3
e  17 195 10
e  0 196 1
e  10 197 3
e  107 198 7
e  34 199 3
e  48 200 6
e  143 201 -3
e  105 202 10
e  68 203 -2
e  187 204 0
e  55 205 2
e  127 206 4
e  89 207 -2
e  125 208 9
e  73 209 5
e  122 210 3
e  110 211 3
e  111 212 4
e  94 213 -5
e  158 214 -2
e  211 215 0
e  104 216 6
e  98 217 -4
e  181 218 -1
e  90 219 -3
e  25 220 4
e  143 221 9
e  151 222 -1
e  88 223 1
