c Minimum Spanning Tree
c
c nodes:  500 ; arcs:  8000 ; cost range:  -5 - 10
c
p mst  500 8000
e  0 1 -3
e  0 2 -1
e  2 3 8
e  1 4 5
e  3 5 5
e  0 6 10
e  3 7 8
e  4 8 1
e  5 9 1
e  6 10 6
e  7 11 4
e  3 12 5
e  12 13 9
e  5 14 -3
e  8 15 4
e  15 16 10
e  15 17 -4
e  5 18 -1
e  4 19 -3
e  16 20 -3
e  0 21 9
e  21 22 6
e  6 23 4
e  17 24 -5
e  17 25 5
e  21 26 3
e  26 27 5
e  7 28 0
e  24 29 -2
e  10 30 4
e  22 31 -3
e  13 32 2
e  13 33 2
e  23 34 1
e  23 35 4
e  10 36 -3
e  33 37 2
e  23 38 -4
e  16 39 5
e  38 40 0
e  0 41 1
e  41 42 -4
e  0 43 -5
e  35 44 8
e  11 45 -5
e  21 46 4
e  8 47 9
e  13 48 -1
e  23 49 10
e  0 50 3
e  38 51 0
e  6 52 -5
e  35 53 -3
e  21 54 -2
e  41 55 -1
e  24 56 7
e  14 57 1
e  24 58 -4
e  15 59 -4
e  15 60 5
e  3 61 -5
e  53 62 1
e  7 63 4
e  36 64 8
e  57 65 9
e  25 66 8
e  20 67 10
e  19 68 5
e  10 69 8
e  56 70 5
e  27 71 10
e  19 72 4
e  36 73 2
e  0 74 -1
e  17 75 5
e  67 76 -3
e  36 77 -5
e  54 78 3
e  11 79 -5
e  7 80 3
e  71 81 10
e  14 82 -4
e  80 83 -4
e  0 84 -1
e  51 85 -2
e  61 86 -2
e  65 87 -2
e  78 88 3
e  40 89 -2
e  20 90 -5
e  28 91 4
e  69 92 1
e  64 93 -4
e  65 94 10
e  28 95 6
e  58 96 -2
e  55 97 10
e  90 98 10
e  50 99 4
e  9 100 4
e  66 101 -4
e  40 102 8
e  18 103 6
e  40 104 3
e  31 105 10
e  20 106 6
e  20 107 8
e  13 108 3
e  45 109 9
e  88 110 -5
e  39 111 -3
e  89 112 6
e  33 113 -4
e  10 114 0
e  105 115 -3
e  22 116 6
e  50 117 6
e  102 118 9
e  17 119 -1
e  14 120 8
e  90 121 1
e  98 122 3
e  53 123 -4
e  75 124 -4
e  68 125 -1
e  44 126 -5
e  116 127 -3
e  50 128 6
e  118 129 -2
e  106 130 5
e  48 131 -4
e  118 132 4
e  41 133 5
e  90 134 9
e  112 135 10
e  63 136 6
e  115 137 7
e  133 138 6
e  138 139 -3
e  112 140 -1
e  115 141 -5
e  14 142 -3
e  79 143 2
e  54 144 10
e  88 145 9
e  10 146 3
e  69 147 10
e  92 148 -4
e  41 149 5
e  79 150 -1
e  100 151 9
e  57 152 8
e  85 153 9
e  50 154 4
e  43 155 7
e  54 156 1
e  147 157 3
e  152 158 6
e  71 159 -3
e  39 160 -4
e  150 161 3
e  144 162 -3
e  25 163 5
e  47 164 9
e  111 165 1
e  15 166 -2
e  42 167 -5
e  122 168 1
e  93 169 8
e  81 170 -2
e  3 171 7
e  145 172 8
e  86 173 8
e  98 174 -5
e  170 175 -1
e  158 176 4
e  176 177 2
e  76 178 -5
e  120 179 -1
e  66 180 0
e  156 181 -4
e  78 182 -1
e  94 183 -3
e  181 184 0
e  47 185 -4
e  63 186 -2
e  13 187 6
e  173 188 8
e  63 189 0
e  139 190 -3
e  9 191 6
e  48 192 2
e  178 193 9
e  114 194 9
e  71 195 -4
e  123 196 0
e  23 197 5
e  68 198 8
e  198 199 3
e  175 200 8
e  85 201 10
e  191 202 1
e  106 203 5
e  20 204 2
e  91 205 1
e  93 206 -2
e  14 207 1
e  110 208 -3
e  81 209 -4
e  22 210 -1
e  136 211 -2
e  114 212 -2
e  154 213 8
e  101 214 2
e  6 215 -5
e  98 216 -4
e  102 217 8
e  181 218 -3
e  104 219 5
e  165 220 1
e  212 221 8
e  21 222 -3
e  160 223 9
e  149 224 0
e  130 225 -2
e  138 226 1
e  60 227 3
e  150 228 0
e  170 229 1
e  6 230 2
e  43 231 6
e  186 232 0
e  131 233 6
e  65 234 -3
e  202 235 5
e  56 236 8
e  223 237 -1
e  198 238 6
e  76 239 0
e  196 240 -5
e  29 241 5
e  201 242 -3
e  64 243 10
e  190 244 8
e  168 245 -2
e  57 246 7
e  159 247 9
e  87 248 0
e  60 249 -2
e  227 250 5
e  122 251 3
e  223 252 -3
e  244 253 -1
e  169 254 -2
e  120 255 -1
e  71 256 3
e  219 257 6
e  191 258 7
e  92 259 10
e  233 260 8
e  219 261 4
e  14 262 8
e  139 263 6
e  153 264 -5
e  61 265 4
e  228 266 -3
e  118 267 7
e  135 268 2
e  222 269 2
e  102 270 -4
e  127 271 2
e  85 272 -5
e  238 273 0
e  92 274 9
e  261 275 -3
e  9 276 7
e  40 277 -3
e  274 278 8
e  9 279 7
e  211 280 -3
e  91 281 -5
e  269 282 -2
e  227 283 0
e  74 284 9
e  5 285 6
e  213 286 3
e  118 287 4
e  42 288 1
e  118 289 2
e  4 290 -1
e  7 291 -1
e  130 292 -3
e  227 293 2
e  76 294 -3
e  185 295 4
e  172 296 2
e  10 297 -1
e  69 298 -2
e  98 299 1
e  152 300 -1
e  82 301 -3
e  232 302 4
e  138 303 6
e  261 304 4
e  198 305 6
e  297 306 0
e  273 307 -4
e  223 308 9
e  175 309 -1
e  181 310 1
e  2 311 -3
e  305 312 8
e  200 313 10
e  111 314 8
e  310 315 8
e  285 316 -3
e  11 317 3
e  32 318 -5
e  122 319 4
e  293 320 1
e  169 321 -5
e  61 322 10
e  21 323 10
e  22 324 10
e  156 325 0
e  163 326 0
e  3 327 0
e  250 328 4
e  310 329 -3
e  235 330 -2
e  224 331 3
e  0 332 0
e  313 333 1
e  103 334 -3
e  28 335 -4
e  71 336 -4
e  83 337 9
e  225 338 4
e  238 339 6
e  180 340 -2
e  48 341 5
e  51 342 -1
e  170 343 1
e  145 344 6
e  156 345 6
e  125 346 9
e  121 347 -5
e  35 348 -2
e  268 349 -3
e  72 350 8
e  94 351 7
e  322 352 -3
e  166 353 9
e  299 354 8
e  280 355 5
e  89 356 9
e  52 357 10
e  278 358 5
e  111 359 0
e  164 360 3
e  62 361 5
e  276 362 9
e  305 363 10
e  122 364 3
e  127 365 -5
e  60 366 2
e  243 367 10
e  190 368 7
e  245 369 -2
e  290 370 9
e  211 371 9
e  55 372 0
e  243 373 9
e  240 374 0
e  355 375 -5
e  109 376 -3
e  297 377 8
e  206 378 1
e  249 379 0
e  163 380 0
e  125 381 1
e  13 382 10
e  249 383 -5
e  140 384 0
e  60 385 1
e  117 386 5
e  126 387 2
e  309 388 0
e  269 389 4
e  8 390 4
e  0 391 0
e  289 392 3
e  323 393 0
e  275 394 0
e  343 395 0
e  60 396 8
e  278 397 -3
e  90 398 -5
e  24 399 6
e  239 400 -1
e  320 401 8
e  222 402 -4
e  382 403 -2
e  323 404 6
e  21 405 -1
e  234 406 9
e  252 407 3
e  234 408 -5
e  316 409 1
e  312 410 8
e  85 411 0
e  290 412 10
e  241 413 0
e  356 414 5
e  377 415 5
e  195 416 3
e  336 417 3
e  257 418 5
e  387 419 -3
e  89 420 3
e  72 421 9
e  139 422 8
e  390 423 2
e  309 424 -5
e  420 425 -2
e  229 426 -2
e  3 427 6
e  43 428 -1
e  342 429 1
e  309 430 5
e  283 431 6
e  383 432 2
e  16 433 5
e  379 434 -5
e  285 435 5
e  156 436 -1
e  210 437 2
e  288 438 3
e  35 439 4
e  141 440 3
e  425 441 -3
e  256 442 2
e  103 443 1
e  224 444 -1
e  193 445 4
e  136 446 0
e  17 447 8
e  224 448 -5
e  438 449 1
e  410 450 5
e  123 451 4
e  233 452 9
e  89 453 4
e  257 454 6
e  13 455 -4
e  221 456 10
e  322 457 2
e  276 458 -4
e  449 459 6
e  412 460 -1
e  62 461 6
e  452 462 6
e  448 463 9
e  2 464 10
e  300 465 2
e  58 466 8
e  391 467 -1
e  406 468 8
e  40 469 0
e  145 470 0
e  300 471 9
e  102 472 0
e  400 473 8
e  95 474 10
e  319 475 10
e  163 476 -1
e  470 477 9
e  33 478 4
e  190 479 8
e  126 480 8
e  444 481 -2
e  245 482 9
e  199 483 -3
e  239 484 8
e  315 485 -2
e  247 486 6
e  376 487 6
e  330 488 -2
e  308 489 2
e  447 490 -2
e  427 491 -4
e  194 492 5
e  450 493 5
e  318 494 -2
e  237 495 -1
e  20 496 4
e  152 497 3
e  491 498 9
e  414 499 7
e  218 440 9
e  235 364 7
e  223 257 -4
e  198 306 7
e  394 460 0
e  28 301 1
e  81 326 4
e  443 463 10
e  272 317 8
e  99 330 3
e  222 343 9
e  14 73 6
e  99 352 4
e  50 443 5
e  121 398 1
e  329 342 -5
e  234 280 -4
e  109 280 4
e  68 237 2
e  116 384 9
e  463 491 3
e  268 338 6
e  432 438 -5
e  61 137 -2
e  219 270 2
e  160 195 10
e  94 160 -3
e  89 456 -4
e  238 246 5
e  121 468 -3
e  282 435 -5
e  15 499 0
e  1 157 -1
e  231 397 1
e  115 341 -1
e  444 450 9
e  390 447 3
e  265 399 -4
e  93 368 -5
e  96 98 -4
e  102 440 -4
e  473 492 -5
e  29 354 5
e  81 343 1
e  148 481 -4
e  159 327 4
e  326 364 6
e  79 430 4
e  322 412 1
e  169 183 6
e  124 464 1
e  397 495 -3
e  151 349 5
e  159 162 6
e  83 142 2
e  8 296 8
e  363 495 5
e  31 40 1
e  122 205 -3
e  263 265 6
e  207 419 2
e  273 478 3
e  361 458 4
e  41 490 -2
e  245 451 8
e  129 248 3
e  284 498 -3
e  14 52 -4
e  142 490 7
e  360 408 1
e  264 355 -3
e  27 44 10
e  8 153 -1
e  186 252 10
e  198 218 10
e  354 461 -5
e  80 335 1
e  40 80 -3
e  35 258 -4
e  98 145 -2
e  406 407 -5
e  123 189 -2
e  209 461 -5
e  21 145 6
e  41 364 3
e  332 364 9
e  204 468 6
e  276 402 0
e  290 390 -2
e  198 374 -2
e  239 240 10
e  218 327 4
e  356 458 10
e  119 286 1
e  164 222 2
e  127 258 -4
e  39 417 6
e  175 448 1
e  37 226 2
e  76 474 1
e  366 412 7
e  307 409 0
e  185 335 4
e  411 439 -4
e  1 49 5
e  445 466 6
e  126 308 4
e  266 374 4
e  193 241 9
e  403 495 7
e  89 270 7
e  359 456 9
e  255 459 -2
e  238 422 5
e  20 399 1
e  162 232 0
e  99 158 -2
e  93 494 1
e  30 133 7
e  203 437 -2
e  177 389 -1
e  203 220 10
e  9 212 5
e  61 173 0
e  267 452 -1
e  119 234 -1
e  118 407 -2
e  235 356 7
e  338 351 7
e  199 282 1
e  122 321 -5
e  32 107 3
e  76 392 1
e  359 454 -4
e  298 471 1
e  170 446 7
e  227 247 4
e  213 216 8
e  7 398 -2
e  195 313 3
e  195 278 9
e  133 395 -2
e  124 257 0
e  41 161 -4
e  230 406 6
e  110 351 -5
e  71 157 6
e  287 293 -3
e  257 289 7
e  109 358 8
e  17 327 9
e  47 297 1
e  199 231 -5
e  343 373 0
e  154 498 5
e  115 311 -1
e  202 328 0
e  58 397 3
e  337 352 -3
e  464 477 7
e  73 300 -5
e  212 464 -4
e  157 172 1
e  107 482 6
e  486 498 -5
e  159 256 1
e  100 120 5
e  242 424 2
e  36 330 3
e  276 457 3
e  10 324 3
e  213 294 -4
e  226 274 7
e  17 190 10
e  198 249 -4
e  21 67 2
e  341 365 -3
e  311 357 9
e  65 393 5
e  83 294 3
e  300 326 3
e  324 483 3
e  233 358 2
e  51 291 3
e  96 319 -1
e  94 258 -5
e  64 474 1
e  385 483 10
e  199 218 0
e  92 132 1
e  325 380 1
e  126 377 -3
e  227 425 -2
e  167 388 -5
e  153 315 2
e  103 455 7
e  152 476 0
e  119 154 -1
e  55 169 7
e  83 423 9
e  209 433 6
e  49 440 1
e  259 378 -3
e  325 408 2
e  122 472 8
e  452 474 -1
e  112 219 5
e  300 372 4
e  341 418 -1
e  107 144 5
e  48 123 -1
e  167 320 3
e  61 427 -5
e  476 483 9
e  161 240 2
e  116 429 5
e  2 92 10
e  136 380 7
e  343 388 5
e  251 308 1
e  157 257 -5
e  15 44 9
