c Minimum Spanning Tree
c
c nodes:  5000 ; arcs:  12000 ; cost range:  -5 - 10
c
p mst  5000 12000
e  0 1 -1
e  1 2 0
e  2 3 -1
e  2 4 4
e  1 5 3
e  4 6 -1
e  5 7 3
e  3 8 5
e  3 9 5
e  3 10 -4
e  4 11 5
e  3 12 2
e  8 13 4
e  6 14 1
e  0 15 5
e  1 16 4
e  7 17 5
e  6 18 -1
e  11 19 10
e  13 20 9
e  10 21 1
e  17 22 9
e  8 23 -4
e  10 24 4
e  22 25 10
e  22 26 8
e  4 27 -3
e  23 28 9
e  20 29 -3
e  14 30 8
e  12 31 -5
e  21 32 0
e  30 33 2
e  24 34 8
e  31 35 10
e  26 36 10
e  18 37 -5
e  8 38 9
e  30 39 4
e  38 40 10
e  25 41 6
e  35 42 8
e  14 43 8
e  3 44 0
e  30 45 5
e  14 46 3
e  22 47 9
e  23 48 2
e  43 49 9
e  30 50 9
e  17 51 -5
e  11 52 6
e  40 53 -5
e  26 54 -2
e  28 55 1
e  9 56 10
e  29 57 2
e  24 58 0
e  53 59 -4
e  33 60 4
e  4 61 10
e  61 62 2
e  5 63 9
e  31 64 -4
e  1 65 2
e  8 66 2
e  63 67 3
e  5 68 7
e  54 69 2
e  49 70 6
e  48 71 0
e  30 72 7
e  60 73 -1
e  27 74 4
e  42 75 9
e  52 76 3
e  5 77 5
e  43 78 -2
e  51 79 -1
e  51 80 8
e  0 81 4
e  76 82 -5
e  59 83 7
e  63 84 2
e  25 85 4
e  79 86 -2
e  34 87 -2
e  45 88 0
e  44 89 -4
e  65 90 -3
e  52 91 -3
e  45 92 2
e  5 93 -3
e  36 94 2
e  3 95 -3
e  32 96 4
e  65 97 -2
e  62 98 6
e  8 99 9
e  36 100 3
e  100 101 8
e  23 102 -1
e  6 103 6
e  83 104 6
e  59 105 7
e  32 106 -1
e  24 107 8
e  38 108 -5
e  26 109 5
e  75 110 7
e  8 111 3
e  22 112 8
e  49 113 0
e  38 114 5
e  54 115 3
e  80 116 -4
e  0 117 -5
e  14 118 8
e  116 119 8
e  103 120 4
e  88 121 5
e  4 122 -4
e  96 123 3
e  34 124 -3
e  77 125 1
e  98 126 10
e  16 127 -2
e  116 128 2
e  92 129 -3
e  121 130 8
e  126 131 1
e  65 132 8
e  6 133 10
e  27 134 8
e  34 135 10
e  13 136 -4
e  57 137 2
e  96 138 4
e  74 139 -2
e  2 140 -3
e  124 141 2
e  11 142 8
e  60 143 6
e  19 144 -2
e  59 145 4
e  141 146 5
e  69 147 9
e  146 148 3
e  112 149 -4
e  144 150 1
e  50 151 -1
e  130 152 7
e  41 153 1
e  42 154 8
e  47 155 8
e  9 156 7
e  136 157 -3
e  7 158 0
e  17 159 7
e  22 160 8
e  5 161 2
e  150 162 10
e  147 163 7
e  145 164 9
e  24 165 6
e  88 166 0
e  122 167 10
e  58 168 -3
e  114 169 3
e  47 170 7
e  129 171 4
e  88 172 10
e  54 173 9
