c Minimum Spanning Tree
c
c nodes:  300 ; arcs:  800 ; cost range:  -5 - 10
c
p mst  300 800
e  0 1 6
e  0 2 -3
e  2 3 -2
e  3 4 7
e  1 5 3
e  3 6 -5
e  3 7 4
e  1 8 -3
e  0 9 1
e  4 10 10
e  6 11 -2
e  10 12 3
e  11 13 9
e  1 14 9
e  2 15 8
e  14 16 1
e  4 17 -4
e  7 18 8
e  3 19 -5
e  0 20 8
e  0 21 6
e  9 22 1
e  14 23 3
e  14 24 4
e  20 25 7
e  18 26 4
e  11 27 -1
e  1 28 -2
e  8 29 -1
e  16 30 7
e  14 31 -5
e  11 32 10
e  2 33 2
e  29 34 -2
e  30 35 3
e  0 36 10
e  18 37 -4
e  37 38 2
e  10 39 5
e  19 40 -1
e  9 41 -4
e  36 42 8
e  24 43 -5
e  35 44 -2
e  23 45 -2
e  3 46 10
e  8 47 1
e  5 48 2
e  20 49 2
e  25 50 1
e  9 51 7
e  47 52 4
e  51 53 1
e  44 54 4
e  21 55 -4
e  30 56 3
e  15 57 0
e  52 58 4
e  0 59 4
e  10 60 5
e  16 61 -2
e  4 62 6
e  39 63 -4
e  29 64 3
e  44 65 10
e  18 66 -2
e  36 67 4
e  24 68 6
e  5 69 9
e  22 70 4
e  7 71 2
e  58 72 4
e  3 73 9
e  1 74 0
e  34 75 9
e  1 76 7
e  41 77 -3
e  39 78 0
e  20 79 5
e  23 80 2
e  48 81 10
e  30 82 6
e  30 83 9
e  21 84 -5
e  29 85 6
e  68 86 -2
e  3 87 1
e  12 88 -3
e  81 89 4
e  55 90 -3
e  57 91 7
e  52 92 -3
e  59 93 -5
e  67 94 8
e  93 95 7
e  61 96 -1
e  94 97 3
e  91 98 4
e  16 99 6
e  11 100 1
e  35 101 -1
e  38 102 7
e  100 103 1
e  16 104 -3
e  54 105 -2
e  64 106 -4
e  79 107 8
e  74 108 3
e  66 109 4
e  57 110 5
e  49 111 4
e  17 112 -1
e  95 113 6
e  77 114 3
e  4 115 0
e  79 116 8
e  54 117 -1
e  22 118 1
e  10 119 9
e  48 120 0
e  21 121 0
e  91 122 2
e  121 123 8
e  67 124 3
e  0 125 9
e  88 126 4
e  1 127 6
e  9 128 9
e  105 129 10
e  75 130 7
e  7 131 -5
e  40 132 2
e  83 133 3
e  63 134 7
e  16 135 10
e  27 136 3
e  56 137 1
e  114 138 7
e  108 139 -2
e  137 140 5
e  28 141 4
e  104 142 0
e  128 143 -5
e  53 144 -5
e  102 145 -2
e  80 146 3
e  36 147 7
e  142 148 0
e  102 149 5
e  110 150 10
e  9 151 -3
e  39 152 8
e  3 153 -2
e  133 154 -3
e  78 155 10
e  4 156 0
e  24 157 1
e  70 158 7
e  141 159 10
e  77 160 7
e  156 161 2
e  124 162 9
e  161 163 -2
e  123 164 6
e  133 165 8
e  1 166 2
e  52 167 -4
e  102 168 4
e  123 169 3
e  76 170 2
e  166 171 9
e  7 172 1
e  163 173 9
e  156 174 -2
e  101 175 9
e  32 176 -3
e  73 177 2
e  74 178 5
e  30 179 5
e  60 180 10
e  90 181 5
e  50 182 5
e  86 183 1
e  165 184 -1
e  45 185 2
e  41 186 0
e  141 187 -5
e  41 188 10
e  161 189 10
e  182 190 7
e  176 191 3
e  77 192 4
e  34 193 -2
e  141 194 4
e  69 195 5
e  36 196 -2
e  189 197 3
e  36 198 8
e  161 199 -4
e  121 200 4
e  189 201 10
e  149 202 1
e  142 203 4
e  163 204 5
e  198 205 10
e  33 206 -3
e  84 207 4
e  46 208 7
e  43 209 -2
e  119 210 3
e  121 211 9
e  186 212 10
e  112 213 4
e  167 214 9
e  69 215 1
e  2 216 2
e  145 217 2
e  115 218 4
e  203 219 9
e  154 220 0
e  104 221 9
e  4 222 8
e  189 223 4
e  43 224 1
e  218 225 9
e  126 226 0
e  141 227 -5
e  146 228 -2
e  87 229 2
e  186 230 9
e  188 231 7
e  178 232 3
e  22 233 0
e  2 234 10
e  208 235 9
e  123 236 2
e  136 237 -3
e  32 238 8
e  207 239 3
e  70 240 -2
e  53 241 0
e  54 242 8
e  29 243 1
e  130 244 -1
e  27 245 2
e  60 246 6
e  209 247 0
e  52 248 -5
e  208 249 2
e  161 250 0
e  55 251 6
e  228 252 9
e  87 253 7
e  66 254 0
e  115 255 7
e  71 256 4
e  14 257 8
e  121 258 -4
e  8 259 -5
e  62 260 -2
e  16 261 7
e  174 262 -3
e  63 263 2
e  187 264 -1
e  177 265 -5
e  119 266 -1
e  224 267 6
e  105 268 2
e  200 269 -1
e  26 270 -2
e  17 271 -3
e  51 272 2
e  90 273 -5
e  238 274 2
e  257 275 -5
e  153 276 0
e  41 277 8
e  39 278 3
e  106 279 0
e  48 280 4
e  82 281 8
e  121 282 1
e  164 283 7
e  228 284 -4
e  41 285 7
e  203 286 8
e  69 287 -1
e  241 288 9
e  76 289 3
e  132 290 2
e  227 291 -4
e  186 292 7
e  283 293 5
e  221 294 10
e  28 295 9
e  235 296 10
e  168 297 0
e  63 298 -1
e  209 299 4
