c Minimum Spanning Tree
c
c nodes:  1000 ; arcs:  2000 ; cost range:  -5 - 10
c
p mst  1000 2000
e  0 1 8
e  0 2 1
e  1 3 8
e  2 4 8
e  1 5 5
e  0 6 10
e  3 7 -2
e  7 8 -1
e  1 9 -4
e  3 10 4
e  2 11 7
e  0 12 8
e  11 13 -2
e  8 14 3
e  1 15 0
e  1 16 7
e  16 17 -2
e  6 18 8
e  7 19 3
e  12 20 9
e  0 21 -4
e  9 22 -5
e  19 23 -4
e  16 24 7
e  13 25 8
e  15 26 2
e  7 27 0
e  26 28 7
e  23 29 9
e  13 30 -4
e  24 31 -2
e  10 32 -4
e  2 33 -3
e  19 34 -2
e  16 35 4
e  20 36 -2
e  1 37 0
e  26 38 -1
e  36 39 7
e  12 40 -5
e  26 41 3
e  15 42 5
e  24 43 -3
e  32 44 1
e  15 45 4
e  7 46 4
e  23 47 -2
e  40 48 10
e  22 49 6
e  1 50 0
e  44 51 -5
e  1 52 10
e  6 53 -1
e  48 54 -5
e  4 55 4
e  45 56 1
e  36 57 0
e  18 58 -4
e  36 59 7
e  44 60 -1
e  20 61 -4
e  30 62 4
e  46 63 2
e  49 64 -4
e  55 65 -5
e  34 66 4
e  23 67 7
e  39 68 1
e  8 69 -4
e  64 70 4
e  53 71 2
e  68 72 -2
e  8 73 5
e  45 74 9
e  13 75 3
e  72 76 -5
e  69 77 6
e  53 78 10
e  22 79 -5
e  58 80 2
e  42 81 7
e  30 82 6
e  25 83 -3
e  43 84 8
e  0 85 -2
e  42 86 -3
e  52 87 8
e  68 88 -2
e  70 89 4
e  87 90 10
e  2 91 6
e  77 92 10
e  12 93 2
e  19 94 0
e  31 95 2
e  15 96 2
e  63 97 10
e  32 98 2
e  76 99 2
e  48 100 2
e  23 101 1
e  58 102 1
e  22 103 9
e  64 104 8
e  59 105 -2
e  27 106 10
e  13 107 0
e  65 108 -3
e  64 109 6
e  63 110 -2
e  110 111 1
e  12 112 4
e  103 113 -1
e  4 114 -2
e  47 115 9
e  22 116 10
e  84 117 -1
e  90 118 -4
e  118 119 -2
e  65 120 -1
e  5 121 -3
e  105 122 7
e  44 123 -2
e  33 124 10
e  122 125 1
e  115 126 2
e  62 127 5
e  12 128 -2
e  50 129 -1
e  4 130 5
e  109 131 7
e  129 132 -1
e  34 133 4
e  103 134 8
e  82 135 6
e  133 136 4
e  80 137 0
e  76 138 5
e  24 139 -2
e  15 140 3
e  140 141 5
e  135 142 -1
e  80 143 -5
e  94 144 6
e  13 145 0
e  41 146 10
e  3 147 7
e  74 148 6
e  128 149 7
e  109 150 9
e  137 151 10
e  92 152 -2
e  100 153 1
e  89 154 10
e  1 155 4
e  103 156 10
e  138 157 7
e  133 158 7
e  153 159 2
e  140 160 0
e  102 161 -2
e  130 162 1
e  1 163 -4
e  122 164 -3
e  138 165 4
e  80 166 6
e  104 167 4
e  159 168 -2
e  61 169 7
e  152 170 1
e  89 171 3
e  100 172 -4
e  121 173 3
e  12 174 -2
e  12 175 9
e  164 176 3
e  90 177 3
e  153 178 -4
e  4 179 7
e  15 180 -1
e  113 181 -5
e  96 182 5
e  118 183 -1
e  129 184 4
e  93 185 -1
e  87 186 -2
e  58 187 0
e  168 188 -2
e  17 189 -3
e  83 190 7
e  147 191 -2
e  149 192 4
e  126 193 5
e  136 194 6
e  130 195 3
e  37 196 -3
e  13 197 -5
e  81 198 2
e  131 199 9
e  158 200 4
e  63 201 -5
e  32 202 -1
e  12 203 5
e  123 204 -3
e  195 205 1
e  28 206 8
e  90 207 -5
e  146 208 0
e  176 209 10
e  125 210 7
e  34 211 3
e  34 212 8
e  125 213 7
e  146 214 -4
e  95 215 -4
e  156 216 5
e  123 217 3
e  84 218 8
e  76 219 10
e  196 220 1
e  20 221 3
e  125 222 -4
e  97 223 8
e  159 224 0
e  151 225 2
e  36 226 -4
e  12 227 3
e  172 228 6
e  22 229 7
e  89 230 0
e  87 231 0
e  204 232 1
e  51 233 4
e  224 234 8
e  185 235 4
e  2 236 -3
e  59 237 -1
e  116 238 3
e  225 239 3
e  62 240 1
e  111 241 3
e  205 242 6
e  10 243 -3
e  56 244 -1
e  232 245 6
