c Minimum Spanning Tree
c
c nodes:  200 ; arcs:  800 ; cost range:  -5 - 10
c
p mst  200 800
e  0 1 -4
e  0 2 -2
e  2 3 10
e  3 4 8
e  4 5 -2
e  3 6 8
e  5 7 -4
e  2 8 5
e  1 9 10
e  6 10 -3
e  0 11 3
e  0 12 -2
e  2 13 -5
e  8 14 -2
e  0 15 5
e  2 16 10
e  1 17 0
e  11 18 3
e  12 19 9
e  17 20 4
e  16 21 7
e  0 22 2
e  2 23 2
e  16 24 -2
e  20 25 -5
e  5 26 8
e  6 27 4
e  8 28 -1
e  7 29 6
e  20 30 -1
e  3 31 8
e  3 32 0
e  10 33 -2
e  2 34 10
e  17 35 10
e  5 36 -3
e  27 37 3
e  6 38 7
e  9 39 2
e  26 40 0
e  23 41 -2
e  25 42 9
e  24 43 -4
e  26 44 2
e  16 45 -5
e  8 46 -5
e  11 47 3
e  40 48 -4
e  11 49 1
e  4 50 0
e  33 51 0
e  28 52 -4
e  35 53 2
e  14 54 1
e  27 55 -1
e  17 56 8
e  1 57 8
e  52 58 10
e  39 59 1
e  18 60 6
e  44 61 -4
e  47 62 4
e  52 63 6
e  30 64 -4
e  37 65 -2
e  59 66 0
e  3 67 5
e  8 68 7
e  45 69 3
e  25 70 6
e  60 71 -2
e  30 72 -5
e  47 73 1
e  5 74 1
e  45 75 7
e  73 76 4
e  15 77 8
e  58 78 -1
e  34 79 1
e  76 80 4
e  69 81 -5
e  10 82 9
e  82 83 8
e  32 84 8
e  70 85 10
e  83 86 10
e  22 87 7
e  55 88 6
e  23 89 2
e  4 90 0
e  33 91 9
e  39 92 8
e  43 93 4
e  69 94 8
e  31 95 -5
e  18 96 -4
e  1 97 4
e  96 98 1
e  4 99 10
e  80 100 0
e  15 101 0
e  91 102 3
e  3 103 7
e  92 104 -5
e  101 105 7
e  87 106 8
e  21 107 9
e  91 108 10
e  79 109 8
e  64 110 8
e  93 111 10
e  59 112 -1
e  15 113 8
e  35 114 0
e  70 115 10
e  15 116 -1
e  101 117 0
e  117 118 4
e  3 119 7
e  36 120 10
e  48 121 9
e  112 122 1
e  60 123 8
e  95 124 2
e  18 125 -3
e  74 126 7
e  56 127 -3
e  118 128 -4
e  1 129 0
e  115 130 -4
e  94 131 9
e  69 132 0
