c Minimum Spanning Tree
c
c nodes:  10 ; arcs:  40 ; cost range:  -5 - 10
c
p mst  10 40
e  0 1 -2
e  1 2 -5
e  2 3 10
e  1 4 0
e  1 5 0
e  5 6 2
e  2 7 8
e  7 8 9
e  5 9 -2
e  0 6 8
e  5 7 1
e  1 7 8
e  1 3 9
e  4 6 -3
e  3 9 -3
e  2 9 9
e  4 7 -1
e  2 6 7
e  7 9 -2
e  6 9 7
e  0 8 2
e  6 8 -4
e  0 3 9
e  1 9 1
e  3 5 9
e  4 9 1
e  0 7 -5
e  4 5 5
e  0 2 7
e  2 8 10
e  2 4 -1
e  3 8 -1
e  6 7 3
e  1 8 2
e  3 7 2
e  3 6 3
e  0 5 4
e  1 6 -4
e  8 9 0
e  4 8 4
