c Minimum Spanning Tree
c
c nodes:  10000 ; arcs:  50000 ; cost range:  -5 - 10
c
p mst  10000 50000
e  0 1 0
e  0 2 -5
e  2 3 4
e  3 4 6
e  0 5 10
e  2 6 -2
e  4 7 3
e  0 8 9
e  3 9 -4
e  7 10 -4
e  1 11 5
e  3 12 0
e  9 13 -5
e  5 14 3
e  8 15 -4
e  7 16 7
e  11 17 3
e  9 18 0
e  8 19 -5
e  8 20 6
e  4 21 7
e  12 22 -1
e  18 23 10
e  9 24 1
e  23 25 -2
e  17 26 1
e  5 27 9
e  20 28 -2
e  27 29 9
e  15 30 3
e  24 31 -3
e  10 32 -4
e  14 33 8
e  30 34 4
e  12 35 6
e  30 36 -4
e  21 37 4
e  10 38 6
e  27 39 8
e  6 40 -4
e  18 41 -4
e  24 42 -5
e  23 43 -4
e  2 44 3
e  14 45 9
e  24 46 2
e  23 47 4
e  29 48 3
e  11 49 0
e  20 50 6
e  21 51 1
e  51 52 5
e  44 53 -4
e  33 54 3
e  52 55 3
e  9 56 -4
e  45 57 0
e  12 58 6
e  4 59 -4
e  4 60 1
e  26 61 9
e  8 62 4
e  40 63 4
e  20 64 0
e  24 65 0
e  46 66 8
e  23 67 2
e  2 68 8
e  65 69 6
e  59 70 4
e  65 71 0
e  60 72 6
e  34 73 2
e  51 74 2
e  13 75 0
e  69 76 9
e  69 77 -2
e  72 78 -2
e  9 79 8
e  41 80 9
e  49 81 3
e  29 82 1
e  67 83 0
e  7 84 5
e  82 85 6
e  9 86 -5
e  3 87 3
e  86 88 -3
e  37 89 9
e  45 90 4
e  61 91 3
e  69 92 -5
e  87 93 -2
e  41 94 -2
e  32 95 2
e  20 96 5
e  59 97 5
e  21 98 2
e  47 99 0
e  35 100 0
e  91 101 3
e  55 102 5
e  41 103 4
e  54 104 9
e  18 105 10
e  9 106 9
e  95 107 4
e  11 108 -1
e  14 109 7
e  23 110 -3
e  5 111 -5
e  8 112 -3
e  77 113 0
e  36 114 0
e  73 115 -1
e  77 116 2
e  49 117 7
e  112 118 10
e  55 119 2
e  13 120 -5
e  118 121 1
e  58 122 -2
e  51 123 8
e  79 124 -2
e  36 125 3
e  53 126 -3
e  19 127 2
e  93 128 -5
e  10 129 -2
e  30 130 1
e  59 131 2
e  6 132 7
e  64 133 2
e  51 134 3
e  128 135 2
e  132 136 2
e  121 137 8
e  59 138 8
e  80 139 2
e  51 140 -3
e  110 141 -1
e  52 142 7
