c Minimum Spanning Tree
c
c nodes:  100 ; arcs:  600 ; cost range:  -5 - 10
c
p mst  100 600
e  0 1 4
e  0 2 2
e  2 3 2
e  0 4 7
e  4 5 3
e  5 6 2
e  3 7 7
e  7 8 6
e  8 9 7
e  4 10 1
e  10 11 4
e  11 12 -4
e  6 13 8
e  7 14 -1
e  1 15 -3
e  4 16 5
e  10 17 -3
e  10 18 4
e  17 19 3
e  4 20 4
e  14 21 2
e  10 22 2
e  4 23 2
e  23 24 6
e  3 25 0
e  22 26 4
e  17 27 -3
e  2 28 5
e  5 29 8
e  24 30 9
e  19 31 2
e  12 32 8
e  12 33 1
e  2 34 7
e  7 35 -4
e  12 36 -4
e  16 37 -3
e  24 38 -2
e  0 39 7
e  11 40 8
e  4 41 -5
e  10 42 4
e  36 43 7
e  13 44 -1
e  10 45 0
e  18 46 1
e  0 47 -1
e  37 48 8
e  0 49 6
e  38 50 6
e  33 51 0
e  1 52 6
e  20 53 3
e  21 54 4
e  2 55 2
e  18 56 1
e  41 57 6
e  19 58 10
e  0 59 7
e  42 60 4
e  39 61 -4
e  29 62 4
e  39 63 0
e  10 64 3
e  19 65 9
e  25 66 5
e  43 67 5
e  56 68 -3
e  43 69 0
e  16 70 7
e  25 71 -5
e  62 72 6
e  43 73 10
e  6 74 8
e  40 75 1
e  52 76 0
e  37 77 -3
e  70 78 -1
e  55 79 3
e  38 80 4
e  22 81 -4
e  28 82 9
e  26 83 6
e  1 84 4
e  8 85 6
e  70 86 -4
e  76 87 8
e  86 88 -2
e  65 89 -2
e  34 90 -2
e  89 91 -4
e  27 92 0
e  40 93 2
e  27 94 -5
e  56 95 4
e  40 96 8
e  46 97 10
e  43 98 6
e  51 99 -2
e  52 66 6
e  55 62 9
e  6 76 -2
e  34 64 1
e  49 95 10
e  0 94 4
e  23 82 -4
e  28 72 2
e  35 78 5
e  59 87 3
e  18 99 8
e  55 90 -3
e  38 63 -4
e  52 89 -2
e  26 59 -1
e  17 36 2
e  49 98 8
e  1 21 2
e  13 55 -4
e  48 70 8
e  25 57 9
e  31 44 5
e  8 10 8
e  56 72 4
e  23 96 -1
e  21 31 -3
e  22 23 -1
e  12 66 4
e  35 74 -5
e  24 36 -5
e  61 88 4
e  11 30 0
e  39 68 0
