c Minimum Spanning Tree
c
c nodes:  1000 ; arcs:  6000 ; cost range:  -5 - 10
c
p mst  1000 6000
e  0 1 9
e  0 2 -5
e  2 3 6
e  2 4 0
e  0 5 0
e  2 6 7
e  3 7 1
e  2 8 4
e  7 9 -5
e  6 10 3
e  9 11 -2
e  8 12 -4
e  9 13 7
e  4 14 6
e  1 15 10
e  12 16 -3
e  11 17 5
e  4 18 7
e  8 19 8
e  0 20 8
e  2 21 8
e  3 22 2
e  13 23 3
e  13 24 5
e  9 25 4
e  24 26 6
e  17 27 -2
e  11 28 4
e  13 29 8
e  6 30 -1
e  3 31 3
e  21 32 7
e  17 33 1
e  3 34 -1
e  10 35 -3
e  13 36 5
e  10 37 10
e  26 38 -4
e  0 39 0
e  21 40 9
e  21 41 -1
e  31 42 2
e  7 43 8
e  23 44 7
e  24 45 -3
e  25 46 -2
e  8 47 -2
e  9 48 4
e  46 49 4
e  34 50 6
e  7 51 1
e  7 52 -2
e  35 53 2
e  39 54 -5
e  30 55 7
e  48 56 -3
e  26 57 0
e  40 58 5
e  14 59 3
e  18 60 8
e  39 61 8
e  53 62 1
e  18 63 5
e  39 64 10
e  51 65 1
e  2 66 -5
e  32 67 7
e  43 68 -2
e  47 69 4
e  39 70 3
e  4 71 4
e  56 72 -3
e  46 73 7
e  4 74 -5
e  28 75 10
e  4 76 6
e  1 77 4
e  21 78 2
e  38 79 8
e  48 80 9
e  22 81 2
e  11 82 -1
e  32 83 5
e  43 84 -4
e  13 85 4
e  70 86 5
e  61 87 2
e  78 88 1
e  77 89 7
e  79 90 8
e  49 91 -3
e  18 92 0
e  57 93 2
e  14 94 1
e  8 95 3
e  29 96 5
e  95 97 9
e  32 98 9
e  29 99 -1
e  51 100 10
e  74 101 2
e  65 102 -5
e  100 103 10
e  0 104 -3
e  34 105 10
e  75 106 -2
e  8 107 -4
e  76 108 5
e  105 109 -4
e  93 110 7
e  32 111 -2
e  75 112 3
e  26 113 -3
e  71 114 4
e  70 115 10
e  75 116 9
e  59 117 -2
e  109 118 2
e  63 119 2
e  103 120 9
e  108 121 2
e  105 122 8
e  50 123 3
e  6 124 -5
e  52 125 1
e  71 126 3
e  79 127 7
e  100 128 8
e  90 129 1
e  32 130 4
e  44 131 -4
e  5 132 -4
e  22 133 0
e  47 134 3
e  130 135 1
e  126 136 -4
e  128 137 -4
e  104 138 4
e  105 139 -3
e  50 140 -5
e  26 141 2
e  111 142 -3
e  131 143 -1
