c Minimum Spanning Tree
c
c nodes:  40 ; arcs:  100 ; cost range:  -5 - 10
c
p mst  40 100
e  0 1 8
e  1 2 3
e  1 3 -1
e  2 4 -2
e  4 5 -2
e  5 6 -3
e  4 7 -4
e  3 8 6
e  8 9 8
e  6 10 -4
e  5 11 2
e  3 12 1
e  4 13 4
e  8 14 3
e  13 15 10
e  2 16 -3
e  5 17 10
e  16 18 10
e  17 19 -2
e  0 20 10
e  18 21 -5
e  16 22 2
e  1 23 7
e  20 24 7
e  5 25 10
e  15 26 -3
e  15 27 -2
e  3 28 5
e  13 29 -5
e  17 30 4
e  1 31 5
e  4 32 9
e  1 33 3
e  7 34 -4
e  30 35 4
e  29 36 0
e  7 37 4
e  33 38 3
e  34 39 8
e  25 38 8
e  6 39 5
e  33 37 -3
e  22 25 9
e  0 38 10
e  10 13 3
e  12 16 0
e  15 22 1
e  5 34 -5
e  3 14 3
e  11 27 -1
e  0 36 -1
e  13 25 -3
e  9 36 -4
e  17 34 -1
e  11 23 4
e  23 28 4
e  3 7 -3
e  4 16 5
e  13 31 9
e  12 24 8
e  5 7 4
e  5 38 -5
e  13 35 4
e  28 35 0
e  5 14 7
e  12 22 9
e  18 33 -5
e  33 36 5
e  0 39 -4
e  0 30 9
e  35 39 0
e  1 24 6
e  1 7 2
e  9 19 9
e  2 17 -5
e  7 12 7
e  6 28 9
e  16 25 4
e  21 27 3
e  2 39 -1
e  8 27 7
e  4 12 4
e  23 25 8
e  6 20 6
e  6 35 2
e  3 39 3
e  21 35 -3
e  5 24 6
e  16 21 3
e  6 22 4
e  5 27 7
e  0 28 2
e  24 25 3
e  6 37 8
e  10 17 9
e  25 32 2
e  2 33 9
e  10 26 -2
e  3 26 8
e  0 19 -3
